HumGen,HumGen
10747,8639
10747,332
1644,5970
1644,367
5947,9227
5947,3066
5947,8517
5947,23411
5947,3065
5947,7316
5947,5538
5947,4036
5947,1725
1431,4191
1431,3028
1431,4190
1431,112399
1431,51056
1431,2821
1431,3329
1431,7018
1431,1738
1431,6648
1431,3157
1431,6389
1431,4942
1431,3315
1431,162466
1431,5019
1431,51166
1431,2936
1431,2026
1431,23411
1431,3065
1431,4914
1431,7297
1431,7316
1431,1892
1431,1503
1431,51
1431,308
1431,6390
1431,10587
1431,1737
1431,3692
1431,1632
1431,3419
1431,8801
1431,7386
1431,6472
1431,382
1431,226
1431,6446
1431,3417
1431,7529
1431,5226
231,1832
231,7167
231,2879
231,3028
231,2027
231,3094
231,10963
231,9588
231,2739
231,2173
231,4942
231,2023
231,5375
231,5223
231,2026
231,3336
231,4914
231,7316
231,5230
231,7086
231,10587
231,5962
231,2171
231,7415
231,6462
231,5110
231,18
231,4831
231,6652
231,5226
231,6647
266629,3845
266629,23541
266629,284904
5565,5565
5565,1460
5565,5564
5565,2230
5565,5148
5565,1610
5565,7157
5565,5591
5565,5562
5565,4170
5565,5837
5565,10399
5565,7316
5565,5834
5565,116179
5565,2992
5565,23564
5565,5149
4697,4697
4697,65061
4697,7124
4697,4698
4697,3030
4697,51079
4697,5160
4697,80777
4697,112724
4697,4728
4697,31
4697,4726
4697,351
4697,5162
4697,4722
4697,112399
4697,4715
4697,4719
4697,374291
4697,8604
4697,4716
4697,2103
4697,7417
4697,539
4697,4695
4697,1727
4697,811
4697,5460
4697,4714
4697,4701
4697,1351
4697,2182
4697,2180
4697,4725
4697,4705
4697,4707
4697,4711
4697,9377
4697,7381
4697,1468
4697,1345
4697,4704
4697,4723
4697,821
4697,6341
4697,4713
4697,1327
4697,10939
4697,7316
4697,1374
4697,4720
4697,7184
4697,1537
4697,2987
4697,1025
4697,10038
4697,6390
4697,4724
4697,4700
4697,293
4697,1350
4697,4710
4697,509
4697,7419
4697,154
4697,708
4697,9054
4697,7385
4697,27089
4697,6566
4697,55662
4697,4709
4697,4513
4697,1376
4697,7386
4697,55967
4697,55349
4697,11315
4697,4729
4697,291
4697,23530
4697,4702
79896,5163
79896,3329
79896,2882
8573,10747
8573,8573
8573,328
8573,27165
8573,5584
8573,2898
8573,3845
8573,9520
8573,1938
8573,9120
8573,3191
8573,3739
8573,1742
8573,4914
8573,7531
8573,7316
8573,1025
8573,5469
8573,3761
8573,5501
8573,4141
8573,6733
8573,3768
8573,NH20
8573,5743
8573,9146
404203,351
3312,5566
3312,2224
3312,3312
3312,1019
3312,8841
3312,84617
3312,5970
3312,9132
3312,3906
3312,2885
3312,7412
3312,203068
3312,196
3312,27
3312,3040
3312,229
3312,5170
3312,5515
3312,3845
3312,2194
3312,440
3312,10383
3312,3008
3312,26227
3312,5536
3312,5468
3312,2058
3312,7407
3312,1445
3312,5518
3312,6195
3312,351
3312,3309
3312,10963
3312,5162
3312,54106
3312,2643
3312,3066
3312,112399
3312,5198
3312,3297
3312,1615
3312,1973
3312,8175
3312,5894
3312,1808
3312,5604
3312,4311
3312,9520
3312,159
3312,2103
3312,3329
3312,439
3312,5426
3312,1727
3312,5901
3312,5739
3312,7534
3312,5914
3312,9588
3312,5460
3312,4751
3312,3741
3312,2560
3312,7157
3312,3751
3312,221120
3312,1938
3312,2335
3312,38
3312,1499
3312,64087
3312,10536
3312,10808
3312,7314
3312,5295
3312,7283
3312,7852
3312,4792
3312,1915
3312,54205
3312,2597
3312,6426
3312,3064
3312,10454
3312,3757
3312,3315
3312,25
3312,7280
3312,4214
3312,10381
3312,3146
3312,2023
3312,5684
3312,7345
3312,10376
3312,5591
3312,5296
3312,7099
3312,5562
3312,4170
3312,4137
3312,7919
3312,4548
3312,1956
3312,6633
3312,2617
3312,595
3312,9759
3312,6241
3312,10971
3312,10056
3312,7846
3312,488
3312,2203
3312,275
3312,292
3312,2161
3312,445
3312,79608
3312,1017
3312,349565
3312,3717
3312,10399
3312,8517
3312,5052
3312,6532
3312,1026
3312,3480
3312,213
3312,573
3312,5625
3312,3376
3312,3354
3312,51520
3312,1373
3312,7052
3312,3551
3312,673
3312,6202
3312,6197
3312,5520
3312,5683
3312,4914
3312,613
3312,3752
3312,207
3312,790
3312,7531
3312,7316
3312,8565
3312,NH14
3312,1384
3312,156
3312,3320
3312,10013
3312,50
3312,23521
3312,1025
3312,51179
3312,6132
3312,5265
3312,3749
3312,7879
3312,6622
3312,10382
3312,1387
3312,5499
3312,1737
3312,2932
3312,5728
3312,3308
3312,2100
3312,10097
3312,293
3312,3043
3312,7132
3312,472
3312,7277
3312,7284
3312,1576
3312,5501
3312,6790
3312,3184
3312,5599
3312,708
3312,10946
3312,817
3312,4791
3312,5580
3312,3725
3312,5682
3312,5859
3312,9054
3312,6559
3312,2923
3312,7415
3312,3306
3312,3091
3312,224
3312,5605
3312,2261
3312,51477
3312,2806
3312,7536
3312,5567
3312,4193
3312,1854
3312,1080
3312,5538
3312,1459
3312,788
3312,4522
3312,4790
3312,1454
3312,1432
3312,60
3312,506
3312,7203
3312,3326
3312,6122
3312,10856
3312,283
3312,9146
3312,23193
3312,5092
3312,5111
3312,348
3312,2099
3312,1020
3312,3939
3312,498
3312,6647
3284,3845
3284,7153
3284,8722
3284,5091
3284,495
3284,7155
3284,4524
3284,3283
3284,4677
4947,4953
4947,113451
4947,623
4947,4946
65061,4697
65061,1832
65061,5268
65061,1382
65061,7051
65061,220
65061,6278
65061,6093
65061,6820
65061,6317
65061,3157
65061,5720
65061,54600
65061,4057
65061,57016
65061,55
65061,3728
65061,1017
65061,12
65061,3162
65061,4199
65061,5650
65061,3320
65061,1025
65061,7053
65061,6774
65061,1890
65061,3034
65061,4677
65061,5004
65061,2266
65061,8826
65061,3326
65061,718
866,5066
866,2335
866,200895
866,5176
326625,2224
326625,5163
326625,3033
326625,8851
326625,3329
326625,4552
2740,54681
2740,2512
2740,3426
2740,1318
2740,5066
2740,51107
2740,3249
2740,54600
2740,10857
2740,9568
2740,189
2740,333
2740,7316
2740,5479
2740,NH14
2740,4508
2740,5265
2740,4539
2740,1312
2740,10682
2740,5645
2740,1208
6866,7316
6866,6870
6866,6869
6866,6865
5731,5733
5731,154
5731,5737
5731,5743
1968,3845
1968,5564
1968,2335
1968,4137
1968,1017
1968,4914
1968,7316
1968,1025
1968,2100
1968,3068
1968,3725
1968,10988
1968,5859
1968,3615
1968,8826
5733,5731
5733,1595
5733,978
5733,6548
5733,2324
5733,2064
5733,5295
5733,3956
5733,5296
5733,54884
5733,5338
5733,5291
1019,2911
1019,3312
1019,1019
1019,5970
1019,1021
1019,203068
1019,1022
1019,7150
1019,4233
1019,31
1019,6500
1019,10383
1019,7083
1019,5518
1019,351
1019,3309
1019,112399
1019,5687
1019,8851
1019,5894
1019,3265
1019,596
1019,7448
1019,112398
1019,7157
1019,117159
1019,5644
1019,2064
1019,3718
1019,5156
1019,2597
1019,7046
1019,7345
1019,826
1019,5591
1019,6222
1019,4067
1019,1969
1019,6147
1019,9349
1019,10499
1019,595
1019,5573
1019,369
1019,8678
1019,8517
1019,5052
1019,1026
1019,3480
1019,1457
1019,333
1019,3065
1019,4914
1019,2671
1019,207
1019,7316
1019,5770
1019,2264
1019,5315
1019,3320
1019,5594
1019,6622
1019,5499
1019,5728
1019,890
1019,6218
1019,3082
1019,5501
1019,5859
1019,960
1019,7415
1019,3091
1019,5605
1019,11200
1019,1432
1019,2990
1019,7015
1019,23564
1019,506
1019,7203
1019,8826
1019,3326
1019,5111
1019,3187
1019,332
1019,11224
1019,4087
1019,5226
1806,2597
1806,7316
1806,1195
6283,6283
6768,5328
6768,6768
6768,3845
6768,3265
6768,5888
6768,841
6768,207
6768,7316
6768,3082
6768,11200
949,949
949,3845
949,3265
949,335
949,336
949,483
949,3191
949,821
949,2859
949,7316
949,56413
949,7416
949,27163
949,348
1339,351
2940,351
2940,2938
2940,2939
1832,5566
1832,231
1832,65061
1832,1832
1832,5160
1832,9097
1832,5468
1832,2027
1832,1003
1832,3176
1832,7534
1832,7448
1832,1738
1832,7283
1832,6389
1832,3868
1832,3728
1832,1017
1832,8678
1832,3853
1832,3716
1832,5520
1832,4914
1832,7316
1832,5578
1832,840
1832,5728
1832,983
1832,3856
1832,3852
1832,4791
1832,204
1832,7415
1832,1080
1832,3848
1832,4790
1832,1432
1832,6646
1832,7431
4538,51079
4538,2885
4538,4726
4538,4722
4538,374291
4538,4725
4538,4711
4538,4724
4538,472
4538,6869
4538,126328
4538,11315
4538,4702
8346,23070
8346,55907
8346,5423
8346,5781
8346,7374
8346,3619
8346,5914
8346,3383
8346,8407
8346,1738
8346,6389
8346,2023
8346,4772
8346,4350
8346,10971
8346,23411
8346,7052
8346,3980
8346,142
8346,7316
8346,10038
8346,9212
8346,7416
8346,890
8346,10606
8346,3068
8346,3725
8346,11004
8346,4790
8346,5395
8346,4831
8346,332
8346,7529
8346,2099
136,7165
136,100
8974,7417
8974,3098
8974,369
8974,7316
8974,5034
8974,1277
8974,5291
8974,7203
2028,183
130,3845
4985,4985
4985,2770
4985,4986
4985,4988
4985,10723
4985,488
4985,821
4985,7316
4985,156
4985,5578
4985,3308
4985,154
4985,5580
54681,2740
54681,7316
54681,56413
54681,912
7124,4697
7124,7124
7124,2683
7124,7295
7124,6727
7124,1191
7124,10383
7124,3309
7124,6281
7124,3832
7124,3066
7124,1655
7124,6124
7124,6868
7124,7170
7124,24145
7124,7417
7124,1727
7124,998
7124,2539
7124,140465
7124,1938
7124,117159
7124,6277
7124,6194
7124,6421
7124,2744
7124,2324
7124,6135
7124,4792
7124,1915
7124,3185
7124,10454
7124,3315
7124,197
7124,3956
7124,826
7124,10376
7124,6222
7124,4067
7124,841
7124,7358
7124,9349
7124,5868
7124,10971
7124,488
7124,292
7124,7168
7124,1728
7124,5879
7124,8517
7124,6138
7124,5052
7124,4326
7124,2534
7124,8170
7124,6275
7124,3551
7124,3716
7124,6202
7124,7316
7124,3857
7124,5315
7124,5802
7124,23521
7124,833
7124,622
7124,1147
7124,10382
7124,6207
7124,3858
7124,7171
7124,7132
7124,3181
7124,10928
7124,6218
7124,3849
7124,3856
7124,3852
7124,509
7124,7284
7124,3184
7124,3458
7124,1634
7124,5605
7124,7536
7124,3698
7124,6782
7124,1362
7124,3848
7124,4627
7124,60
7124,79784
7124,6122
7124,10627
7124,6009
7124,3855
7124,6223
3612,3612
3612,7295
3612,53343
3612,54205
3612,3613
3612,7358
3612,59342
3612,6285
3612,4914
3612,7316
3612,3692
3612,7415
3612,1854
210,210
210,51056
210,2821
210,4707
210,5562
210,6777
210,7316
210,156
210,64175
210,10097
210,3156
3155,3155
3155,3028
3155,1727
3155,8659
3155,2744
3155,64087
3155,847
3155,211
3155,7879
3155,2170
3155,51060
3155,2356
3155,8766
3155,22921
8841,6850
8841,3312
8841,8841
8841,6256
8841,55869
8841,5970
8841,328
8841,11112
8841,4233
8841,8850
8841,3845
8841,2158
8841,5601
8841,5468
8841,112399
8841,1655
8841,5914
8841,1487
8841,1990
8841,8204
8841,7157
8841,7068
8841,7067
8841,3172
8841,5347
8841,5295
8841,4846
8841,367
8841,4792
8841,5300
8841,51564
8841,4772
8841,5591
8841,595
8841,9759
8841,10971
8841,7846
8841,5600
8841,3480
8841,573
8841,1457
8841,3065
8841,9734
8841,142
8841,207
8841,7316
8841,7155
8841,10914
8841,6714
8841,1387
8841,5499
8841,1786
8841,3308
8841,6774
8841,2100
8841,5467
8841,3725
8841,5471
8841,3091
8841,11331
8841,5567
8841,55662
8841,6782
8841,4193
8841,1459
8841,4790
8841,1432
8841,23475
8841,5371
8841,10524
8841,7203
8841,2099
1163,1163
1163,6500
1163,595
1163,1017
1163,1026
1163,331
1163,7316
1163,3320
1163,3945
1163,890
1163,983
2862,2692
5142,5566
5142,335
5142,5144
5142,213
5142,4914
5142,7316
9227,5947
9227,9227
9227,5948
4698,4697
4698,51079
4698,5163
4698,4728
4698,351
4698,5162
4698,4722
4698,112399
4698,4715
4698,4719
4698,374291
4698,4716
4698,526
4698,3329
4698,7417
4698,539
4698,5460
4698,10901
4698,2335
4698,7276
4698,64087
4698,4725
4698,4707
4698,7384
4698,1345
4698,9759
4698,4704
4698,821
4698,6341
4698,1327
4698,7316
4698,7416
4698,2100
4698,154
4698,7385
4698,126328
4698,1528
4698,55967
4698,506
4698,9131
4698,6646
4698,4702
3938,3309
3938,821
3938,6714
3938,2100
7421,7421
7421,6256
7421,5970
7421,1022
7421,5515
7421,5468
7421,3066
7421,8648
7421,8204
7421,7157
7421,1499
7421,3172
7421,90
7421,3075
7421,10499
7421,5595
7421,23411
7421,1026
7421,573
7421,1457
7421,6258
7421,2268
7421,7316
7421,156
7421,5594
7421,5469
7421,6714
7421,1387
7421,5499
7421,6257
7421,5501
7421,4791
7421,3725
7421,4193
7421,4790
7421,7376
8013,387266
8013,6195
8013,596
8013,5300
8013,2908
8013,250
43,43
43,351
43,2023
43,10399
43,821
43,1277
55907,8346
55907,351
55907,2475
55907,10726
55907,5520
55907,7316
55907,2100
55907,3725
55907,7415
6711,5566
6711,6711
6711,328
6711,2885
6711,3845
6711,9097
6711,3309
6711,1859
6711,823
6711,3265
6711,7465
6711,2316
6711,7534
6711,2335
6711,7283
6711,5688
6711,3315
6711,7046
6711,5296
6711,598
6711,7919
6711,5573
6711,7168
6711,1017
6711,5144
6711,1457
6711,51520
6711,4914
6711,7316
6711,50
6711,1025
6711,6622
6711,5728
6711,5501
6711,8904
6711,1080
6711,5538
6711,4627
6711,4790
6711,1432
6711,8826
6711,2891
6711,4087
6711,2099
6711,6647
3030,4697
3030,5160
3030,1595
3030,5163
3030,4728
3030,5564
3030,10383
3030,3028
3030,1003
3030,5162
3030,4722
3030,3066
3030,112399
3030,2495
3030,4719
3030,8985
3030,374291
3030,4967
3030,3329
3030,7417
3030,481
3030,539
3030,1727
3030,64127
3030,3383
3030,811
3030,5460
3030,4714
3030,51706
3030,1351
3030,1938
3030,6194
3030,2335
3030,10157
3030,4696
3030,4725
3030,7283
3030,8192
3030,5300
3030,444
3030,4214
3030,7384
3030,9377
3030,1345
3030,595
3030,10971
3030,7846
3030,1017
3030,4704
3030,5096
3030,4257
3030,4723
3030,821
3030,4914
3030,1327
3030,695
3030,7316
3030,1374
3030,4720
3030,7184
3030,1537
3030,3320
3030,5033
3030,768
3030,7879
3030,7416
3030,3308
3030,2100
3030,7132
3030,1350
3030,509
3030,7419
3030,4791
3030,3725
3030,960
3030,7385
3030,27089
3030,11331
3030,4513
3030,8766
3030,1459
3030,788
3030,6472
3030,60
3030,506
3030,11315
3030,3326
3030,10627
3030,10632
3030,3187
3030,4259
3030,348
3030,4702
3030,498
2743,351
2743,1136
2743,10243
2743,2892
2743,2556
8029,8029
8029,7356
8029,7018
8029,2694
8029,213
8029,3958
8029,4036
8029,2638
4191,1431
4191,4191
4191,5160
4191,7412
4191,3845
4191,3028
4191,501
4191,4719
4191,7453
4191,3329
4191,2335
4191,38
4191,6389
4191,2597
4191,30
4191,3315
4191,5684
4191,4772
4191,1072
4191,162466
4191,5091
4191,9759
4191,1017
4191,79587
4191,10726
4191,5052
4191,4914
4191,7316
4191,5315
4191,6390
4191,160287
4191,25824
4191,3725
4191,2806
4191,3419
4191,1080
4191,5538
4191,51022
4191,506
4191,11315
4191,226
4191,5111
4191,3417
4191,6646
4191,498
4191,6647
51380,7083
51380,5300
51380,301
51380,1026
51380,2932
51380,7376
54677,847
54677,2203
54677,11034
54677,213
4353,4353
4353,241
4353,2
4353,6279
4353,3315
4353,1991
4353,1356
4353,847
4353,213
4353,653509
4353,2100
4353,6441
9468,9468
9468,58
9468,351
9468,59
9468,5130
9468,154807
9468,7316
9468,60
151,7534
151,7345
886,887
5465,5465
5465,6256
5465,5970
5465,2885
5465,8648
5465,596
5465,8204
5465,10062
5465,2168
5465,10499
5465,3191
5465,5595
5465,23411
5465,6258
5465,3276
5465,3320
5465,5578
5465,5594
5465,5469
5465,6714
5465,6257
5465,5580
5465,1854
5465,358
5465,7376
5465,8503
7167,231
7167,7167
7167,5268
7167,9446
7167,3948
7167,9973
7167,3028
7167,4190
7167,351
7167,2027
7167,10963
7167,2230
7167,2821
7167,4706
7167,7534
7167,9588
7167,2098
7167,2805
7167,6317
7167,6648
7167,3358
7167,10247
7167,6389
7167,2597
7167,2023
7167,5684
7167,1072
7167,162466
7167,5019
7167,624
7167,1956
7167,5223
7167,10971
7167,2026
7167,445
7167,1017
7167,3336
7167,11034
7167,92483
7167,4723
7167,4914
7167,7316
7167,2950
7167,308
7167,51601
7167,50
7167,5230
7167,7086
7167,3945
7167,160287
7167,7416
7167,23549
7167,2653
7167,8833
7167,1192
7167,7001
7167,3418
7167,1080
7167,5538
7167,8566
7167,8801
7167,7386
7167,79154
7167,11315
7167,5111
7167,4329
7167,9131
7167,6652
7167,4729
7167,6646
7167,5236
7167,3939
7167,6647
5972,5972
5972,183
5972,4074
5972,1508
5972,5973
56901,57118
56901,3739
56901,4914
56901,1786
56901,8639
56901,10524
56901,5164
56901,1020
1841,3845
1841,5460
1841,1738
1841,51478
1841,7316
1841,1025
1841,5110
5351,5447
5351,5351
5351,5352
5351,7417
5351,1727
5351,10536
5351,3098
5351,4772
5351,3191
5351,4914
5351,7316
5351,8883
5351,7416
5351,1277
5351,7419
5351,2923
5351,3187
9963,2885
9963,5295
6605,5915
6605,6605
6605,3066
6605,8648
6605,5914
6605,1738
6605,367
6605,3146
6605,2023
6605,4772
6605,10016
6605,10499
6605,3868
6605,2908
6605,3065
6605,3861
6605,7316
6605,7155
6605,6714
6605,5241
6605,2100
6605,10928
6605,3725
6605,4193
6605,60
6605,2099
128,128
128,1460
128,5775
128,26227
128,2101
128,351
128,10963
128,8659
128,2098
128,7448
128,7157
128,7161
128,9759
128,22949
128,5052
128,3065
128,7316
2155,2155
2155,2158
2155,2152
2155,3249
2155,3191
2155,8517
2155,2159
2155,213
2155,2677
2155,7415
5264,2157
5264,5264
5264,351
5264,7157
5264,847
5264,7316
51079,4697
51079,4538
51079,4698
51079,4728
51079,3845
51079,4726
51079,4722
51079,112399
51079,4719
51079,374291
51079,3329
51079,4701
51079,4696
51079,4725
51079,116085
51079,4711
51079,1969
51079,1468
51079,4718
51079,4704
51079,4723
51079,821
51079,1327
51079,10939
51079,7316
51079,4720
51079,10587
51079,6774
51079,4724
51079,293
51079,4712
51079,7415
51079,4731
51079,4709
51079,1376
51079,7386
51079,55967
51079,9131
51079,4729
715,715
715,716
715,1457
715,710
715,713
715,5105
6256,5915
6256,8841
6256,7421
6256,5465
6256,6256
6256,5970
6256,1460
6256,7025
6256,5916
6256,7083
6256,5468
6256,8648
6256,547
6256,7170
6256,5452
6256,5914
6256,8204
6256,7068
6256,7067
6256,1499
6256,9971
6256,5347
6256,90
6256,5295
6256,367
6256,10062
6256,1514
6256,91
6256,4350
6256,10499
6256,9759
6256,3191
6256,5595
6256,3065
6256,6258
6256,142
6256,9970
6256,7316
6256,2260
6256,5594
6256,5469
6256,6714
6256,2932
6256,8856
6256,2100
6256,5467
6256,4306
6256,4627
6256,4790
6256,5371
6256,3486
6256,4087
6256,2099
6256,7376
5290,5970
5290,2885
5290,5163
5290,2512
5290,3845
5290,5781
5290,1655
5290,3265
5290,5604
5290,57172
5290,2560
5290,2934
5290,1499
5290,2904
5290,7533
5290,2064
5290,5295
5290,5156
5290,1915
5290,3667
5290,5296
5290,9266
5290,9265
5290,3932
5290,1956
5290,1111
5290,6241
5290,6424
5290,369
5290,5879
5290,3697
5290,5159
5290,334
5290,5144
5290,1436
5290,673
5290,3065
5290,4914
5290,207
5290,7316
5290,10013
5290,5578
5290,1025
5290,7372
5290,3815
5290,7132
5290,3562
5290,5580
5290,6446
5290,95
5290,4087
5290,2099
5290,8503
5290,1020
84617,3312
84617,4843
84617,1191
84617,10383
84617,112399
84617,3383
84617,2335
84617,57118
84617,29968
84617,4214
84617,10376
84617,5296
84617,5562
84617,1956
84617,595
84617,7846
84617,369
84617,26013
84617,7316
84617,84790
84617,1025
84617,6817
84617,7132
84617,7277
84617,7284
84617,4791
84617,3725
84617,1080
84617,4790
84617,283
5160,5447
5160,4697
5160,1832
5160,3030
5160,4191
5160,5160
5160,8467
5160,5163
5160,7150
5160,23410
5160,4728
5160,2194
5160,5564
5160,4726
5160,3028
5160,388697
5160,5162
5160,4722
5160,112399
5160,4719
5160,374291
5160,7170
5160,4967
5160,5165
5160,7417
5160,481
5160,539
5160,1727
5160,811
5160,10901
5160,7157
5160,29920
5160,5831
5160,51706
5160,1938
5160,1738
5160,6238
5160,38
5160,10455
5160,4725
5160,523
5160,487
5160,387
5160,28960
5160,7388
5160,6389
5160,444
5160,30
5160,3315
5160,7384
5160,6777
5160,9377
5160,476
5160,1345
5160,8880
5160,10093
5160,488
5160,3191
5160,5166
5160,4704
5160,10165
5160,3376
5160,4723
5160,821
5160,4914
5160,3189
5160,7037
5160,1327
5160,7316
5160,1374
5160,4720
5160,7184
5160,4629
5160,1537
5160,10013
5160,23521
5160,1025
5160,7879
5160,6390
5160,3945
5160,5034
5160,160287
5160,1737
5160,7416
5160,5728
5160,2100
5160,3692
5160,1350
5160,50809
5160,509
5160,7419
5160,154
5160,4141
5160,7385
5160,204
5160,2923
5160,27089
5160,11331
5160,302
5160,4513
5160,5538
5160,8766
5160,4790
5160,6472
5160,60
5160,506
5160,11315
5160,3295
5160,10627
5160,10856
5160,3163
5160,9131
5160,11224
5160,4259
5160,348
5160,5164
5160,435
5160,23530
5160,4702
5160,3939
5160,498
7357,351
7357,5739
7357,7316
7357,6574
2595,7316
994,994
994,1460
994,4843
994,8850
994,5601
994,9261
994,6500
994,5127
994,4921
994,2901
994,5894
994,3265
994,7534
994,269
994,7533
994,367
994,5591
994,1969
994,1111
994,9759
